TokenPattern	PatternLength
expr_stmt-expr-block-if_stmt-if-block-block_content-catch-block-block_content-expr_stmt-expr-literal	100
function-block-block_content-for-block-block_content-try-catch-block-block_content-package-name-name	100
function-block-block_content-try-block-block_content-expr_stmt-expr-block-return-expr-call-name-name	100
expr_stmt-expr-block-throws-argument-expr-block-expr-call-argument_list-argument-expr-call-name-name	100
try-block-block_content-for-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-name	100
try-block-block_content-if_stmt-if-block-block_content-while-block-block_content-decl_stmt-decl-name	100
function-block-block_content-class-block-class-block-function-block-block_content-expr_stmt-operator	100
class-block-function-block-block_content-decl_stmt-decl-init-expr-name-index-expr-call-name-operator	100
class-block-function-block-block_content-decl_stmt-decl-init-expr-name-index-expr-call-argument_list	100
class-block-function-block-block_content-switch-block-block_content-return-expr-name-index-expr-name	100
while-block-block_content-expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-call-name-name	100
function-block-block_content-constructor-block-block_content-decl_stmt-decl-init-expr-call-name-name	100
finally-block-block_content-decl_stmt-decl-init-expr-call-argument_list-argument-expr-call-name-name	100
function-block-block_content-class-block-function-block-block_content-decl_stmt-decl-type-name-index	100
function-block-block_content-decl_stmt-decl-init-expr-call-argument_list-argument-expr-block-comment	100
function-block-block_content-for-block-block_content-expr_stmt-expr-block-expr-block-expr-block-name	100
class-block-class-block-function-block-block_content-for-control-init-decl-range-expr-call-name-name	100
class-block-class-block-function-block-block_content-for-block-block_content-expr_stmt-expr-operator	100
finally-block-block_content-while-block-block_content-try-block-block_content-expr_stmt-expr-literal	100
constructor-block-block_content-function-block-block_content-decl_stmt-decl-init-expr-call-name-name	100
finally-block-block_content-finally-block-block_content-expr_stmt-expr-block-expr-block-expr-literal	100
annotation-argument_list-argument-expr-block-argument-annotation-argument_list-argument-expr-literal	100
expr_stmt-expr-block-if_stmt-if-block-block_content-try-block-block_content-expr_stmt-expr-call-name	100
function-block-block_content-function-block-block_content-class-block-decl_stmt-decl-type-name-index	100
function-block-block_content-interface-block-expr_stmt-expr-block-if_stmt-if-condition-expr-operator	100
catch-block-block_content-if_stmt-if-block-block_content-decl_stmt-decl-init-expr-call-name-operator	100
if_stmt-else-block-block_content-class-block-expr_stmt-expr-call-argument_list-argument-expr-literal	100
class-block-finally-block-block_content-class-block-function-block-block_content-expr_stmt-expr-name	100
interface-block-interface-block-interface-block-interface-block-class-block-decl_stmt-decl-type-name	100
interface-block-interface-block-interface-block-interface-block-function-block-block_content-comment	100
for-block-block_content-for-block-block_content-decl_stmt-decl-type-name-argument_list-argument-name	100
for-block-block_content-expr_stmt-expr-ternary-then-expr-ternary-then-expr-ternary-then-expr-literal	100
expr_stmt-expr-block-expr-block-for-block-block_content-if_stmt-if-condition-expr-call-name-operator	100
if_stmt-if-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-call-name-name-operator	100
if_stmt-if-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-name-index-expr-literal	100
function-block-block_content-if_stmt-if-block-block_content-for-control-condition-expr-name-operator	100
return-expr-ternary-then-expr-call-argument_list-argument-expr-call-argument_list-argument-expr-name	100
decl_stmt-decl-block-block_content-if_stmt-if-block-block_content-if_stmt-if-condition-expr-operator	100
function-block-block_content-if_stmt-else-block-block_content-if_stmt-if-block-block_content-comment	100
function-block-block_content-function-block-block_content-return-expr-ternary-condition-expr-literal	100
block-block_content-expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-block-expr-call-name	100
if_stmt-if-block-block_content-expr_stmt-expr-block-try-block-block_content-decl_stmt-decl-type-name	100
expr_stmt-expr-block-expr-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-operator	100
function-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-block-expr-block-operator	100
class-block-function-block-block_content-try-block-block_content-if_stmt-if-condition-expr-call-name	100
for-block-block_content-decl_stmt-decl-init-expr-call-argument_list-argument-expr-call-name-operator	100
function-block-block_content-catch-block-block_content-expr_stmt-expr-block-expr-block-expr-operator	100
function-block-block_content-try-block-block_content-function-block-block_content-function-type-name	100
if_stmt-else-block-block_content-if_stmt-if-condition-expr-call-argument_list-argument-expr-operator	100
expr_stmt-expr-block-expr-block-for-block-block_content-class-block-decl_stmt-decl-init-expr-literal	100
expr_stmt-expr-block-expr-call-argument_list-argument-expr-block-expr-block-expr-block-expr-operator	100
